section,metric,value
single_neuron,fixed_rheobase_current_na,2.0
single_neuron,dynamic_rheobase_current_na,1.5
single_neuron,fixed_steady_rate_at_4na_hz,70.67137809187277
single_neuron,dynamic_steady_rate_at_4na_hz,53.475935828876985
single_neuron,steady_rate_difference_at_4na_hz,17.195442262995783
single_neuron,steady_rate_difference_at_4na_percent,24.33155080213904
adaptation,steady_rate_without_adaptation_at_4na_hz,44.44444444444444
adaptation,steady_rate_with_adaptation_at_4na_hz,10.954902318787656
adaptation,steady_rate_reduction_at_4na_hz,33.48954212565678
adaptation,adaptation_index_at_4na,2.6374501992031854
adaptation,max_adaptation_state_at_4na,0.4760287143483486
adaptation,steady_rate_reduction_at_4na_percent,75.35146978272776
coupled,base_rate_1_hz,50.0
coupled,base_rate_2_hz,60.0
coupled,base_coincidence_fraction,0.2857142857142857
coupled,base_mean_signed_lag_ms,0.48142857142857004
coupled,base_membrane_correlation,0.032171254113808265
coupled,max_coincidence_fraction_in_sweep,0.5714285714285714
coupled,strength_ratio_at_max_coincidence,3.0
coupled,coincidence_fraction_gain_ratio,2.0
neural_mass,base_peak_frequency_hz,3.0
neural_mass,base_peak_power,1.4490141129082077
neural_mass,base_rms_amplitude,2.5020350881740567
neural_mass,max_peak_power_in_sweep,16.83776385434248
neural_mass,coupling_ep_at_max_peak_power,160.0
neural_mass,peak_frequency_at_max_peak_power_hz,3.5
