model,current_na,spike_count,mean_rate_hz,steady_rate_hz,first_spike_latency_ms
fixed_threshold,0.0,0,0.0,0.0,nan
dynamic_threshold,0.0,0,0.0,0.0,nan
fixed_threshold,0.5,0,0.0,0.0,nan
dynamic_threshold,0.5,0,0.0,0.0,nan
fixed_threshold,1.0,0,0.0,0.0,nan
dynamic_threshold,1.0,0,0.0,0.0,nan
fixed_threshold,1.5,0,0.0,0.0,nan
dynamic_threshold,1.5,7,24.0,25.09410288582183,33.0
fixed_threshold,2.0,7,24.0,24.03846153846154,41.6
dynamic_threshold,2.0,10,36.0,33.11258278145694,20.8
fixed_threshold,2.5,10,36.0,36.36363636363637,27.5
dynamic_threshold,2.5,12,40.0,39.21568627450981,15.350000000000001
fixed_threshold,3.0,14,48.0,48.076923076923094,20.8
dynamic_threshold,3.0,13,44.0,44.444444444444464,12.200000000000001
fixed_threshold,3.5,17,60.0,59.52380952380952,16.8
dynamic_threshold,3.5,15,52.0,49.14004914004915,10.100000000000001
fixed_threshold,4.0,21,72.0,70.67137809187277,14.15
dynamic_threshold,4.0,16,52.0,53.475935828876985,8.65
fixed_threshold,4.5,24,80.0,81.96721311475405,12.200000000000001
dynamic_threshold,4.5,17,56.0,57.636887608069145,7.550000000000001
fixed_threshold,5.0,27,92.0,93.02325581395348,10.75
dynamic_threshold,5.0,19,64.0,61.538461538461576,6.7
fixed_threshold,5.5,31,104.0,104.16666666666663,9.600000000000001
dynamic_threshold,5.5,20,68.0,65.35947712418304,6.050000000000001
fixed_threshold,6.0,34,116.0,115.60693641618501,8.65
dynamic_threshold,6.0,21,68.0,68.96551724137932,5.5
fixed_threshold,6.5,37,124.0,126.58227848101272,7.9
dynamic_threshold,6.5,22,72.0,72.46376811594202,5.050000000000001
fixed_threshold,7.0,41,140.0,137.93103448275863,7.25
dynamic_threshold,7.0,23,76.0,76.04562737642587,4.65
fixed_threshold,7.5,44,148.0,149.25373134328342,6.7
dynamic_threshold,7.5,24,80.0,79.36507936507934,4.3
fixed_threshold,8.0,48,164.0,160.0,6.25
dynamic_threshold,8.0,25,84.0,82.64462809917366,4.05
fixed_threshold,8.5,51,172.0,170.94017094017082,5.8500000000000005
dynamic_threshold,8.5,26,88.0,86.20689655172411,3.8000000000000003
fixed_threshold,9.0,54,180.0,181.8181818181818,5.5
dynamic_threshold,9.0,27,88.0,89.28571428571438,3.5500000000000003
fixed_threshold,9.5,57,192.0,192.30769230769204,5.2
dynamic_threshold,9.5,28,92.0,92.59259259259267,3.35
fixed_threshold,10.0,61,204.0,204.08163265306058,4.9
dynamic_threshold,10.0,29,96.0,95.69377990430614,3.2
fixed_threshold,10.5,64,216.0,215.0537634408604,4.65
dynamic_threshold,10.5,30,100.0,98.52216748768458,3.0500000000000003
